frame_idx,threshold,precision,recall,f1_score,iou,pixel_accuracy,tp,fp,tn,fn,detected_objects,missed_objects,total_gt_objects,detection_rate
8,0.4,0.9946684894053315,0.47420731906018837,0.6422313921927754,0.4730050381927515,0.5777864583333333,29104,156,15270,32270,1,0,1,1.0
8,0.5,0.9949452075937645,0.42012904487242153,0.5907893229465002,0.41923420860092675,0.5348958333333333,25785,131,15295,35589,1,0,1,1.0
8,0.6,0.9941208492106696,0.29755270961645,0.45801565008025685,0.29703002504798154,0.43723958333333335,18262,108,15318,43112,1,0,1,1.0
8,0.7,0.9947723600418211,0.17052823671261447,0.29114681132206693,0.1703755555193801,0.33641927083333334,10466,55,15371,50908,1,0,1,1.0
9,0.3,0.9792541764196621,0.5001965408805031,0.6621640666500439,0.49495162309774243,0.5942317708333333,30540,647,15097,30516,1,0,1,1.0
9,0.4,0.98242806061638,0.4725006551362683,0.63810398027007,0.4685408952121094,0.5739192708333334,28849,516,15228,32207,1,0,1,1.0
9,0.5,0.9911466625247544,0.4180588312368973,0.5880726652766419,0.41650349193916847,0.5343880208333334,25525,228,15516,35531,1,0,1,1.0
9,0.6,0.994643360586411,0.23113207547169812,0.3750996757216522,0.23084472943793757,0.38776041666666666,14112,76,15668,46944,1,0,1,1.0
9,0.7,0.9945579628298593,0.15864124737945492,0.2736351437248393,0.1585036573990738,0.3304296875,9686,53,15691,51370,1,0,1,1.0
10,0.3,0.0,0.0,0.0,0.0,0.5610026041666667,0,33715,43085,0,0,0,0,1.0
10,0.4,0.0,0.0,0.0,0.0,0.5999739583333333,0,30722,46078,0,0,0,0,1.0
10,0.5,0.0,0.0,0.0,0.0,0.6205989583333333,0,29138,47662,0,0,0,0,1.0
10,0.6,0.0,0.0,0.0,0.0,0.6339453125,0,28113,48687,0,0,0,0,1.0
10,0.7,0.0,0.0,0.0,0.0,0.6783203125,0,24705,52095,0,0,0,0,1.0
11,0.3,0.973166520422316,0.5899785499785499,0.7346053587453527,0.5805345896020128,0.6765364583333333,34381,948,17577,23894,1,0,1,1.0
11,0.4,0.9750205373170657,0.54990990990991,0.7032103750192007,0.5422702044131582,0.6477864583333334,32046,821,17704,26229,1,0,1,1.0
11,0.5,0.9776695220035311,0.5131359931359931,0.6730286627429355,0.507191560093626,0.6216796875,29903,683,17842,28372,1,0,1,1.0
11,0.6,0.9806923381722561,0.4671814671814672,0.6328746106281092,0.4629236027273809,0.5887239583333334,27225,536,17989,31050,1,0,1,1.0
11,0.7,0.9823735257268761,0.3902016302016302,0.5585468300950603,0.3874887105294549,0.5319791666666667,22739,408,18117,35536,1,0,1,1.0
12,0.3,0.9867042578412841,0.5342701014832162,0.6931958855702357,0.5304512573200137,0.6450260416666667,30798,415,18740,26847,1,0,1,1.0
12,0.4,0.9868974718620642,0.5004423627374447,0.6641189741700814,0.49713931205624873,0.6200520833333333,28848,383,18772,28797,1,0,1,1.0
12,0.5,0.986873118903434,0.47211379998265246,0.6386848466358452,0.46916751426551967,0.5990625,27215,362,18793,30430,1,0,1,1.0
12,0.6,0.9862946647087616,0.419463960447567,0.5886004308613576,0.4170331660371501,0.5598828125,24180,336,18819,33465,1,0,1,1.0
12,0.7,0.9869689709577514,0.29300026021337494,0.4518579951309558,0.29187115504251054,0.46643229166666667,16890,223,18932,40755,1,0,1,1.0
13,0.3,0.0,0.0,0.0,0.0,0.5041666666666667,0,38080,38720,0,0,0,0,1.0
13,0.4,0.0,0.0,0.0,0.0,0.5306119791666667,0,36049,40751,0,0,0,0,1.0
13,0.5,0.0,0.0,0.0,0.0,0.5641927083333333,0,33470,43330,0,0,0,0,1.0
13,0.6,0.0,0.0,0.0,0.0,0.6050130208333333,0,30335,46465,0,0,0,0,1.0
13,0.7,0.0,0.0,0.0,0.0,0.65953125,0,26148,50652,0,0,0,0,1.0
14,0.3,0.0,0.0,0.0,0.0,0.5512369791666667,0,34465,42335,0,0,0,0,1.0
14,0.4,0.0,0.0,0.0,0.0,0.5837239583333333,0,31970,44830,0,0,0,0,1.0
14,0.5,0.0,0.0,0.0,0.0,0.6119270833333333,0,29804,46996,0,0,0,0,1.0
14,0.6,0.0,0.0,0.0,0.0,0.6506380208333333,0,26831,49969,0,0,0,0,1.0
14,0.7,0.0,0.0,0.0,0.0,0.7380989583333334,0,20114,56686,0,0,0,0,1.0
15,0.3,0.0,0.0,0.0,0.0,0.5684114583333333,0,33146,43654,0,0,0,0,1.0
15,0.4,0.0,0.0,0.0,0.0,0.5993098958333334,0,30773,46027,0,0,0,0,1.0
15,0.5,0.0,0.0,0.0,0.0,0.6172395833333333,0,29396,47404,0,0,0,0,1.0
15,0.6,0.0,0.0,0.0,0.0,0.6369401041666667,0,27883,48917,0,0,0,0,1.0
15,0.7,0.0,0.0,0.0,0.0,0.693984375,0,23502,53298,0,0,0,0,1.0
16,0.3,0.0,0.0,0.0,0.0,0.5722395833333334,0,32852,43948,0,0,0,0,1.0
16,0.4,0.0,0.0,0.0,0.0,0.6195052083333333,0,29222,47578,0,0,0,0,1.0
16,0.5,0.0,0.0,0.0,0.0,0.6446614583333333,0,27290,49510,0,0,0,0,1.0
16,0.6,0.0,0.0,0.0,0.0,0.6754557291666666,0,24925,51875,0,0,0,0,1.0
16,0.7,0.0,0.0,0.0,0.0,0.7872786458333333,0,16337,60463,0,0,0,0,1.0
17,0.3,0.0,0.0,0.0,0.0,0.6030208333333333,0,30488,46312,0,0,0,0,1.0
17,0.4,0.0,0.0,0.0,0.0,0.6337760416666667,0,28126,48674,0,0,0,0,1.0
17,0.5,0.0,0.0,0.0,0.0,0.6976432291666667,0,23221,53579,0,0,0,0,1.0
17,0.6,0.0,0.0,0.0,0.0,0.7352864583333333,0,20330,56470,0,0,0,0,1.0
17,0.7,0.0,0.0,0.0,0.0,0.8227083333333334,0,13616,63184,0,0,0,0,1.0
18,0.3,0.0,0.0,0.0,0.0,0.6081510416666667,0,30094,46706,0,0,0,0,1.0
18,0.4,0.0,0.0,0.0,0.0,0.6425911458333333,0,27449,49351,0,0,0,0,1.0
18,0.5,0.0,0.0,0.0,0.0,0.6887109375,0,23907,52893,0,0,0,0,1.0
18,0.6,0.0,0.0,0.0,0.0,0.7682421875,0,17799,59001,0,0,0,0,1.0
18,0.7,0.0,0.0,0.0,0.0,0.8631640625,0,10509,66291,0,0,0,0,1.0
19,0.3,0.0,0.0,0.0,0.0,0.593671875,0,31206,45594,0,0,0,0,1.0
19,0.4,0.0,0.0,0.0,0.0,0.6233203125,0,28929,47871,0,0,0,0,1.0
19,0.5,0.0,0.0,0.0,0.0,0.6357291666666667,0,27976,48824,0,0,0,0,1.0
19,0.6,0.0,0.0,0.0,0.0,0.67859375,0,24684,52116,0,0,0,0,1.0
19,0.7,0.0,0.0,0.0,0.0,0.796328125,0,15642,61158,0,0,0,0,1.0
20,0.3,0.0,0.0,0.0,0.0,0.5511848958333333,0,34469,42331,0,0,0,0,1.0
20,0.4,0.0,0.0,0.0,0.0,0.5915755208333333,0,31367,45433,0,0,0,0,1.0
20,0.5,0.0,0.0,0.0,0.0,0.6105729166666667,0,29908,46892,0,0,0,0,1.0
20,0.6,0.0,0.0,0.0,0.0,0.6407942708333333,0,27587,49213,0,0,0,0,1.0
20,0.7,0.0,0.0,0.0,0.0,0.7458723958333333,0,19517,57283,0,0,0,0,1.0
21,0.3,0.0,0.0,0.0,0.0,0.55015625,0,34548,42252,0,0,0,0,1.0
21,0.4,0.0,0.0,0.0,0.0,0.5776953125,0,32433,44367,0,0,0,0,1.0
21,0.5,0.0,0.0,0.0,0.0,0.5964583333333333,0,30992,45808,0,0,0,0,1.0
21,0.6,0.0,0.0,0.0,0.0,0.6521223958333333,0,26717,50083,0,0,0,0,1.0
21,0.7,0.0,0.0,0.0,0.0,0.7979296875,0,15519,61281,0,0,0,0,1.0
22,0.3,0.0,0.0,0.0,0.0,0.5444791666666666,0,34984,41816,0,0,0,0,1.0
22,0.4,0.0,0.0,0.0,0.0,0.5916145833333334,0,31364,45436,0,0,0,0,1.0
22,0.5,0.0,0.0,0.0,0.0,0.6363671875,0,27927,48873,0,0,0,0,1.0
22,0.6,0.0,0.0,0.0,0.0,0.6970572916666666,0,23266,53534,0,0,0,0,1.0
22,0.7,0.0,0.0,0.0,0.0,0.8207942708333333,0,13763,63037,0,0,0,0,1.0
23,0.3,0.0,0.0,0.0,0.0,0.5579296875,0,33951,42849,0,0,0,0,1.0
23,0.4,0.0,0.0,0.0,0.0,0.5972786458333333,0,30929,45871,0,0,0,0,1.0
23,0.5,0.0,0.0,0.0,0.0,0.6238932291666667,0,28885,47915,0,0,0,0,1.0
23,0.6,0.0,0.0,0.0,0.0,0.6775390625,0,24765,52035,0,0,0,0,1.0
23,0.7,0.0,0.0,0.0,0.0,0.8099479166666667,0,14596,62204,0,0,0,0,1.0
24,0.3,0.0,0.0,0.0,0.0,0.5592708333333334,0,33848,42952,0,0,0,0,1.0
24,0.4,0.0,0.0,0.0,0.0,0.5966145833333333,0,30980,45820,0,0,0,0,1.0
24,0.5,0.0,0.0,0.0,0.0,0.62875,0,28512,48288,0,0,0,0,1.0
24,0.6,0.0,0.0,0.0,0.0,0.681328125,0,24474,52326,0,0,0,0,1.0
24,0.7,0.0,0.0,0.0,0.0,0.7996223958333334,0,15389,61411,0,0,0,0,1.0
25,0.3,0.0,0.0,0.0,0.0,0.54640625,0,34836,41964,0,0,0,0,1.0
25,0.4,0.0,0.0,0.0,0.0,0.5997526041666666,0,30739,46061,0,0,0,0,1.0
25,0.5,0.0,0.0,0.0,0.0,0.6434375,0,27384,49416,0,0,0,0,1.0
25,0.6,0.0,0.0,0.0,0.0,0.7143359375,0,21939,54861,0,0,0,0,1.0
25,0.7,0.0,0.0,0.0,0.0,0.8527994791666667,0,11305,65495,0,0,0,0,1.0
26,0.3,0.0,0.0,0.0,0.0,0.6314453125,0,28305,48495,0,0,0,0,1.0
26,0.4,0.0,0.0,0.0,0.0,0.6576302083333333,0,26294,50506,0,0,0,0,1.0
26,0.5,0.0,0.0,0.0,0.0,0.6836979166666667,0,24292,52508,0,0,0,0,1.0
26,0.6,0.0,0.0,0.0,0.0,0.748671875,0,19302,57498,0,0,0,0,1.0
26,0.7,0.0,0.0,0.0,0.0,0.875703125,0,9546,67254,0,0,0,0,1.0
27,0.3,0.0,0.0,0.0,0.0,0.61796875,0,29340,47460,0,0,0,0,1.0
27,0.4,0.0,0.0,0.0,0.0,0.6493359375,0,26931,49869,0,0,0,0,1.0
27,0.5,0.0,0.0,0.0,0.0,0.6616015625,0,25989,50811,0,0,0,0,1.0
27,0.6,0.0,0.0,0.0,0.0,0.6947526041666666,0,23443,53357,0,0,0,0,1.0
27,0.7,0.0,0.0,0.0,0.0,0.8285546875,0,13167,63633,0,0,0,0,1.0
28,0.3,0.0,0.0,0.0,0.0,0.6322265625,0,28245,48555,0,0,0,0,1.0
28,0.4,0.0,0.0,0.0,0.0,0.6629166666666667,0,25888,50912,0,0,0,0,1.0
28,0.5,0.0,0.0,0.0,0.0,0.6829427083333334,0,24350,52450,0,0,0,0,1.0
28,0.6,0.0,0.0,0.0,0.0,0.7636848958333333,0,18149,58651,0,0,0,0,1.0
28,0.7,0.0,0.0,0.0,0.0,0.906171875,0,7206,69594,0,0,0,0,1.0
29,0.3,0.0,0.0,0.0,0.0,0.6171875,0,29400,47400,0,0,0,0,1.0
29,0.4,0.0,0.0,0.0,0.0,0.6591536458333334,0,26177,50623,0,0,0,0,1.0
29,0.5,0.0,0.0,0.0,0.0,0.6873567708333334,0,24011,52789,0,0,0,0,1.0
29,0.6,0.0,0.0,0.0,0.0,0.8152864583333334,0,14186,62614,0,0,0,0,1.0
29,0.7,0.0,0.0,0.0,0.0,0.9278776041666666,0,5539,71261,0,0,0,0,1.0
30,0.3,0.0,0.0,0.0,0.0,0.6461067708333333,0,27179,49621,0,0,0,0,1.0
30,0.4,0.0,0.0,0.0,0.0,0.6772135416666667,0,24790,52010,0,0,0,0,1.0
30,0.5,0.0,0.0,0.0,0.0,0.7398307291666667,0,19981,56819,0,0,0,0,1.0
30,0.6,0.0,0.0,0.0,0.0,0.888671875,0,8550,68250,0,0,0,0,1.0
30,0.7,0.0,0.0,0.0,0.0,0.9464453125,0,4113,72687,0,0,0,0,1.0
31,0.3,0.0,0.0,0.0,0.0,0.6672005208333334,0,25559,51241,0,0,0,0,1.0
31,0.4,0.0,0.0,0.0,0.0,0.7005989583333333,0,22994,53806,0,0,0,0,1.0
31,0.5,0.0,0.0,0.0,0.0,0.7839192708333333,0,16595,60205,0,0,0,0,1.0
31,0.6,0.0,0.0,0.0,0.0,0.9148697916666667,0,6538,70262,0,0,0,0,1.0
31,0.7,0.0,0.0,0.0,0.0,0.9492708333333333,0,3896,72904,0,0,0,0,1.0
32,0.3,0.0,0.0,0.0,0.0,0.69109375,0,23724,53076,0,0,0,0,1.0
32,0.4,0.0,0.0,0.0,0.0,0.7031510416666666,0,22798,54002,0,0,0,0,1.0
32,0.5,0.0,0.0,0.0,0.0,0.7821484375,0,16731,60069,0,0,0,0,1.0
32,0.6,0.0,0.0,0.0,0.0,0.8932942708333333,0,8195,68605,0,0,0,0,1.0
32,0.7,0.0,0.0,0.0,0.0,0.9289973958333333,0,5453,71347,0,0,0,0,1.0
33,0.3,0.0,0.0,0.0,0.0,0.8120703125,0,14433,62367,0,0,0,0,1.0
33,0.4,0.0,0.0,0.0,0.0,0.9111848958333333,0,6821,69979,0,0,0,0,1.0
33,0.5,0.0,0.0,0.0,0.0,0.9343619791666666,0,5041,71759,0,0,0,0,1.0
33,0.6,0.0,0.0,0.0,0.0,0.9465494791666667,0,4105,72695,0,0,0,0,1.0
33,0.7,0.0,0.0,0.0,0.0,0.9525520833333333,0,3644,73156,0,0,0,0,1.0
34,0.3,0.0,0.0,0.0,0.0,0.6361458333333333,0,27944,48856,0,0,0,0,1.0
34,0.4,0.0,0.0,0.0,0.0,0.6636328125,0,25833,50967,0,0,0,0,1.0
34,0.5,0.0,0.0,0.0,0.0,0.8161588541666667,0,14119,62681,0,0,0,0,1.0
34,0.6,0.0,0.0,0.0,0.0,0.8962630208333333,0,7967,68833,0,0,0,0,1.0
34,0.7,0.0,0.0,0.0,0.0,0.9124479166666667,0,6724,70076,0,0,0,0,1.0
35,0.3,0.0,0.0,0.0,0.0,0.6197265625,0,29205,47595,0,0,0,0,1.0
35,0.4,0.0,0.0,0.0,0.0,0.6540885416666666,0,26566,50234,0,0,0,0,1.0
35,0.5,0.0,0.0,0.0,0.0,0.7491927083333333,0,19262,57538,0,0,0,0,1.0
35,0.6,0.0,0.0,0.0,0.0,0.8695182291666667,0,10021,66779,0,0,0,0,1.0
35,0.7,0.0,0.0,0.0,0.0,0.8946614583333333,0,8090,68710,0,0,0,0,1.0
36,0.3,0.0,0.0,0.0,0.0,0.5962109375,0,31011,45789,0,0,0,0,1.0
36,0.4,0.0,0.0,0.0,0.0,0.6513541666666667,0,26776,50024,0,0,0,0,1.0
36,0.5,0.0,0.0,0.0,0.0,0.7066536458333333,0,22529,54271,0,0,0,0,1.0
36,0.6,0.0,0.0,0.0,0.0,0.8358723958333333,0,12605,64195,0,0,0,0,1.0
36,0.7,0.0,0.0,0.0,0.0,0.8745833333333334,0,9632,67168,0,0,0,0,1.0
37,0.3,0.0,0.0,0.0,0.0,0.6381119791666666,0,27793,49007,0,0,0,0,1.0
37,0.4,0.0,0.0,0.0,0.0,0.655390625,0,26466,50334,0,0,0,0,1.0
37,0.5,0.0,0.0,0.0,0.0,0.7629036458333334,0,18209,58591,0,0,0,0,1.0
37,0.6,0.0,0.0,0.0,0.0,0.8866015625,0,8709,68091,0,0,0,0,1.0
37,0.7,0.0,0.0,0.0,0.0,0.923125,0,5904,70896,0,0,0,0,1.0
38,0.3,0.0,0.0,0.0,0.0,0.6253515625,0,28773,48027,0,0,0,0,1.0
38,0.4,0.0,0.0,0.0,0.0,0.6602083333333333,0,26096,50704,0,0,0,0,1.0
38,0.5,0.0,0.0,0.0,0.0,0.7308333333333333,0,20672,56128,0,0,0,0,1.0
38,0.6,0.0,0.0,0.0,0.0,0.84875,0,11616,65184,0,0,0,0,1.0
38,0.7,0.0,0.0,0.0,0.0,0.8792317708333334,0,9275,67525,0,0,0,0,1.0
39,0.3,0.0,0.0,0.0,0.0,0.6185677083333333,0,29294,47506,0,0,0,0,1.0
39,0.4,0.0,0.0,0.0,0.0,0.6379947916666666,0,27802,48998,0,0,0,0,1.0
39,0.5,0.0,0.0,0.0,0.0,0.7450260416666666,0,19582,57218,0,0,0,0,1.0
39,0.6,0.0,0.0,0.0,0.0,0.863828125,0,10458,66342,0,0,0,0,1.0
39,0.7,0.0,0.0,0.0,0.0,0.8927213541666666,0,8239,68561,0,0,0,0,1.0
40,0.3,0.0,0.0,0.0,0.0,0.8233333333333334,0,13568,63232,0,0,0,0,1.0
40,0.4,0.0,0.0,0.0,0.0,0.8693229166666666,0,10036,66764,0,0,0,0,1.0
40,0.5,0.0,0.0,0.0,0.0,0.8833854166666667,0,8956,67844,0,0,0,0,1.0
40,0.6,0.0,0.0,0.0,0.0,0.892890625,0,8226,68574,0,0,0,0,1.0
40,0.7,0.0,0.0,0.0,0.0,0.8993619791666667,0,7729,69071,0,0,0,0,1.0
41,0.3,0.0,0.0,0.0,0.0,0.7879036458333334,0,16289,60511,0,0,0,0,1.0
41,0.4,0.0,0.0,0.0,0.0,0.8895572916666666,0,8482,68318,0,0,0,0,1.0
41,0.5,0.0,0.0,0.0,0.0,0.9219661458333334,0,5993,70807,0,0,0,0,1.0
41,0.6,0.0,0.0,0.0,0.0,0.935234375,0,4974,71826,0,0,0,0,1.0
41,0.7,0.0,0.0,0.0,0.0,0.9406770833333333,0,4556,72244,0,0,0,0,1.0
42,0.3,0.0,0.0,0.0,0.0,0.8228125,0,13608,63192,0,0,0,0,1.0
42,0.4,0.0,0.0,0.0,0.0,0.9079817708333333,0,7067,69733,0,0,0,0,1.0
42,0.5,0.0,0.0,0.0,0.0,0.9280078125,0,5529,71271,0,0,0,0,1.0
42,0.6,0.0,0.0,0.0,0.0,0.9390234375,0,4683,72117,0,0,0,0,1.0
42,0.7,0.0,0.0,0.0,0.0,0.944453125,0,4266,72534,0,0,0,0,1.0
43,0.3,0.0,0.0,0.0,0.0,0.6380989583333333,0,27794,49006,0,0,0,0,1.0
43,0.4,0.0,0.0,0.0,0.0,0.6854427083333333,0,24158,52642,0,0,0,0,1.0
43,0.5,0.0,0.0,0.0,0.0,0.7843359375,0,16563,60237,0,0,0,0,1.0
43,0.6,0.0,0.0,0.0,0.0,0.861328125,0,10650,66150,0,0,0,0,1.0
43,0.7,0.0,0.0,0.0,0.0,0.9071484375,0,7131,69669,0,0,0,0,1.0
44,0.3,0.0,0.0,0.0,0.0,0.6417838541666666,0,27511,49289,0,0,0,0,1.0
44,0.4,0.0,0.0,0.0,0.0,0.7196223958333333,0,21533,55267,0,0,0,0,1.0
44,0.5,0.0,0.0,0.0,0.0,0.834296875,0,12726,64074,0,0,0,0,1.0
44,0.6,0.0,0.0,0.0,0.0,0.8965755208333334,0,7943,68857,0,0,0,0,1.0
44,0.7,0.0,0.0,0.0,0.0,0.9323567708333333,0,5195,71605,0,0,0,0,1.0
45,0.3,0.0,0.0,0.0,0.0,0.6154427083333334,0,29534,47266,0,0,0,0,1.0
45,0.4,0.0,0.0,0.0,0.0,0.6470442708333334,0,27107,49693,0,0,0,0,1.0
45,0.5,0.0,0.0,0.0,0.0,0.7648958333333333,0,18056,58744,0,0,0,0,1.0
45,0.6,0.0,0.0,0.0,0.0,0.8768098958333334,0,9461,67339,0,0,0,0,1.0
45,0.7,0.0,0.0,0.0,0.0,0.9194010416666667,0,6190,70610,0,0,0,0,1.0
46,0.3,0.0,0.0,0.0,0.0,0.846640625,0,11778,65022,0,0,0,0,1.0
46,0.4,0.0,0.0,0.0,0.0,0.8966927083333334,0,7934,68866,0,0,0,0,1.0
46,0.5,0.0,0.0,0.0,0.0,0.9142708333333334,0,6584,70216,0,0,0,0,1.0
46,0.6,0.0,0.0,0.0,0.0,0.925,0,5760,71040,0,0,0,0,1.0
46,0.7,0.0,0.0,0.0,0.0,0.9305078125,0,5337,71463,0,0,0,0,1.0
47,0.3,0.0,0.0,0.0,0.0,0.8390625,0,12360,64440,0,0,0,0,1.0
47,0.4,0.0,0.0,0.0,0.0,0.8752864583333333,0,9578,67222,0,0,0,0,1.0
47,0.5,0.0,0.0,0.0,0.0,0.8885286458333334,0,8561,68239,0,0,0,0,1.0
47,0.6,0.0,0.0,0.0,0.0,0.8995963541666666,0,7711,69089,0,0,0,0,1.0
47,0.7,0.0,0.0,0.0,0.0,0.9129427083333334,0,6686,70114,0,0,0,0,1.0
48,0.3,0.0,0.0,0.0,0.0,0.6461848958333334,0,27173,49627,0,0,0,0,1.0
48,0.4,0.0,0.0,0.0,0.0,0.707890625,0,22434,54366,0,0,0,0,1.0
48,0.5,0.0,0.0,0.0,0.0,0.8536979166666666,0,11236,65564,0,0,0,0,1.0
48,0.6,0.0,0.0,0.0,0.0,0.8852734375,0,8811,67989,0,0,0,0,1.0
48,0.7,0.0,0.0,0.0,0.0,0.9157291666666667,0,6472,70328,0,0,0,0,1.0
49,0.3,0.0,0.0,0.0,0.0,0.6187760416666667,0,29278,47522,0,0,0,0,1.0
49,0.4,0.0,0.0,0.0,0.0,0.6855208333333334,0,24152,52648,0,0,0,0,1.0
49,0.5,0.0,0.0,0.0,0.0,0.7707942708333333,0,17603,59197,0,0,0,0,1.0
49,0.6,0.0,0.0,0.0,0.0,0.8750651041666667,0,9595,67205,0,0,0,0,1.0
49,0.7,0.0,0.0,0.0,0.0,0.905546875,0,7254,69546,0,0,0,0,1.0
